t,x,y,id,
13.014,3.4928,4.62214,14,
13.0145,3.49641,4.6413,14,
13.015,3.50132,4.64298,14,
13.0155,3.49077,4.60929,14,
13.016,3.51775,4.59066,14,
13.0165,3.53905,4.60454,14,
13.017,3.53372,4.57181,14,
13.0175,3.53105,4.59017,14,
13.018,3.52433,4.55395,14,
13.0185,3.53465,4.55749,14,
13.019,3.5496,4.55817,14,
13.0195,3.53172,4.56141,14,
13.02,3.51117,4.54573,14,
13.0205,3.49891,4.54603,14,
13.021,3.49237,4.53665,14,
13.0215,3.46917,4.5474,14,
13.022,3.4521,4.56822,14,
13.0225,3.46931,4.56487,14,
13.023,3.459,4.56819,14,
13.0235,3.46003,4.56108,14,
13.024,3.45979,4.56605,14,
13.0245,3.45843,4.56604,14,
13.025,3.46931,4.57125,14,
13.0255,3.4979,4.57263,14,
13.026,3.48691,4.56742,14,
13.0265,3.50462,4.57954,14,
13.027,3.47541,4.58483,14,
13.0275,3.48892,4.59637,14,
13.028,3.46402,4.59647,14,
13.0285,3.45295,4.57121,14,
13.029,3.46505,4.5502,14,
13.0295,3.47826,4.54687,14,
13.03,3.50351,4.54297,14,
13.0305,3.51068,4.52522,14,
13.031,3.53489,4.51582,14,
13.0315,3.52053,4.52415,14,
13.032,3.51482,4.5251,14,
13.0325,3.49592,4.51234,14,
13.033,3.51337,4.51609,14,
13.0335,3.50064,4.53483,14,
13.034,3.46071,4.5192,14,
13.0345,3.46663,4.54812,14,
13.035,3.46262,4.53946,14,
13.0355,3.46212,4.53692,14,
13.036,3.45,4.52782,14,
13.0365,3.43433,4.53713,14,
13.037,3.42623,4.56675,14,
13.0375,3.39905,4.5557,14,
13.038,3.42237,4.57811,14,
13.0385,3.37589,4.60397,14,
13.039,3.37984,4.60646,14,
13.0395,3.40309,4.60566,14,
13.04,3.421,4.61395,14,
13.0405,3.42367,4.62073,14,
13.041,3.41918,4.60493,14,
13.0415,3.41694,4.60304,14,
13.042,3.39248,4.59905,14,
13.0425,3.4084,4.61814,14,
13.043,3.42199,4.60369,14,
13.0435,3.41042,4.60878,14,
13.044,3.40164,4.58504,14,
13.0445,3.43317,4.61093,14,
13.045,3.44951,4.62173,14,
13.0455,3.44635,4.61035,14,
13.046,3.44889,4.60788,14,
13.0465,3.42902,4.6026,14,
13.047,3.43751,4.5894,14,
13.0475,3.44263,4.60278,14,
13.048,3.43597,4.56636,14,
13.0485,3.40072,4.57779,14,
13.049,3.40505,4.57366,14,
13.0495,3.36142,4.59111,14,
13.05,3.37725,4.58196,14,
13.0505,3.35868,4.61531,14,
13.051,3.40006,4.60249,14,
13.0515,3.36751,4.62797,14,
13.052,3.37567,4.6336,14,
13.0525,3.36353,4.63767,14,
13.053,3.36454,4.63034,14,
13.0535,3.35909,4.63415,14,
13.054,3.37299,4.63441,14,
13.0545,3.35514,4.63926,14,
13.055,3.36384,4.6336,14,
13.0555,3.37096,4.62139,14,
13.056,3.35467,4.63206,14,
13.0565,3.36476,4.61895,14,
13.057,3.37845,4.61156,14,
13.0575,3.35446,4.61192,14,
13.058,3.39319,4.60442,14,
13.0585,3.39801,4.60121,14,
13.059,3.39485,4.59071,14,
13.0595,3.38766,4.5986,14,
13.06,3.3933,4.59663,14,
13.0605,3.38385,4.60666,14,
13.061,3.38589,4.60562,14,
13.0615,3.38479,4.60895,14,
13.062,3.36137,4.6161,14,
13.0625,3.35418,4.62208,14,
13.063,3.41212,4.61915,14,
13.0635,3.44185,4.61851,14,
13.064,3.45792,4.60583,14,
13.0645,3.43134,4.60271,14,
13.065,3.4428,4.59066,14,
13.0655,3.43951,4.60372,14,
13.066,3.45845,4.61088,14,
13.0665,3.47343,4.60403,14,
13.067,3.48439,4.59532,14,
13.0675,3.47815,4.60711,14,
13.068,3.49361,4.61374,14,
13.0685,3.50039,4.60747,14,
13.069,3.49077,4.5884,14,
13.0695,3.49343,4.56895,14,
13.07,3.49676,4.57048,14,
13.0705,3.4835,4.58252,14,
13.071,3.4869,4.58363,14,
13.0715,3.46308,4.5819,14,
13.072,3.46983,4.58238,14,
13.0725,3.48512,4.59251,14,
13.073,3.47169,4.59017,14,
13.0735,3.44219,4.58826,14,
13.074,3.41355,4.60272,14,
13.0745,3.44605,4.6238,14,
13.075,3.4451,4.60812,14,
13.0755,3.48,4.60075,14,
13.076,3.48617,4.61187,14,
13.0765,3.48269,4.61211,14,
13.077,3.48853,4.61434,14,
13.0775,3.51332,4.595,14,
13.078,3.5064,4.5923,14,
13.0785,3.51435,4.59934,14,
13.079,3.49882,4.60418,14,
13.0795,3.50996,4.60391,14,
13.08,3.50333,4.60549,14,
13.0805,3.47484,4.61297,14,
13.081,3.51348,4.60695,14,
13.0815,3.51098,4.59888,14,
13.082,3.52449,4.5985,14,
13.0825,3.51144,4.60822,14,
13.083,3.49999,4.62223,14,
13.0835,3.4847,4.61299,14,
13.084,3.50389,4.6132,14,
13.0845,3.53556,4.60375,14,
13.085,3.53606,4.6037,14,
13.0855,3.53897,4.57617,14,
13.086,3.53112,4.58852,14,
13.0865,3.53143,4.58263,14,
13.087,3.57927,4.58913,14,
13.0875,3.56989,4.58425,14,
13.088,3.58782,4.6028,14,
13.0885,3.59048,4.60029,14,
13.089,3.60856,4.6053,14,
13.0895,3.58657,4.59983,14,
13.09,3.56218,4.59736,14,
13.0905,3.59267,4.59785,14,
13.091,3.57966,4.60733,14,
13.0915,3.55782,4.60294,14,
13.092,3.5479,4.60167,14,
13.0925,3.54841,4.59873,14,
13.093,3.56178,4.61049,14,
13.0935,3.55487,4.61684,14,
13.094,3.5417,4.61229,14,
13.0945,3.54133,4.62055,14,
13.095,3.54767,4.61951,14,
13.0955,3.54668,4.60398,14,
13.096,3.56345,4.61521,14,
13.0965,3.5737,4.6147,14,
13.097,3.57575,4.60924,14,
13.0975,3.57051,4.62189,14,
13.098,3.57151,4.60823,14,
13.0985,3.56763,4.61032,14,
13.099,3.56339,4.62049,14,
13.0995,3.55241,4.63808,14,
