t,x,y,id
0.2475,2.35473,1.21291,0
0.248,2.323,1.22015,0
0.2485,2.31449,1.23972,0
0.249,2.3019,1.29959,0
0.2495,2.3315,1.28701,0
0.25,2.36162,1.2709,0
0.2505,2.37368,1.27867,0
0.251,2.33927,1.27222,0
0.2515,2.34628,1.24993,0
0.252,2.35142,1.26097,0
0.2525,2.35639,1.27015,0
0.253,2.34307,1.27322,0
0.2535,2.38502,1.25135,0
0.254,2.38349,1.25699,0
0.2545,2.42555,1.24115,0
0.255,2.35478,1.28859,0
0.2555,2.34738,1.29947,0
0.256,2.40469,1.31634,0
0.2565,2.4209,1.3297,0
0.257,2.41709,1.32012,0
0.2575,2.40316,1.32877,0
0.258,2.39044,1.35672,0
0.2585,2.3726,1.37038,0
0.259,2.34762,1.39323,0
0.2595,2.376,1.40069,0
0.26,2.36838,1.42149,0
0.2605,2.35841,1.42164,0
0.261,2.38638,1.39634,0
0.2615,2.3908,1.40951,0
0.262,2.39314,1.42821,0
0.2625,2.41175,1.43169,0
0.263,2.44739,1.42877,0
0.2635,2.45189,1.42351,0
0.264,2.45073,1.41271,0
0.2645,2.44579,1.36703,0
0.265,2.4384,1.381,0
0.2655,2.40848,1.4343,0
0.266,2.40391,1.42564,0
0.2665,2.39802,1.39502,0
0.267,2.3928,1.4149,0
0.2675,2.38923,1.42872,0
0.268,2.39496,1.38642,0
0.2685,2.3961,1.33465,0
0.269,2.4004,1.35258,0
0.2695,2.37854,1.38615,0
0.27,2.38278,1.3713,0
0.2705,2.36024,1.39987,0
0.271,2.40091,1.3925,0
0.2715,2.39404,1.38539,0
0.272,2.38497,1.42509,0
0.2725,2.36203,1.42992,0
0.273,2.36431,1.40403,0
0.2735,2.34481,1.41437,0
0.274,2.38443,1.39946,0
0.2745,2.3547,1.41592,0
0.275,2.36107,1.41587,0
0.2755,2.37548,1.41374,0
0.276,2.38973,1.43609,0
0.2765,2.33739,1.44506,0
0.277,2.33052,1.45386,0
0.2775,2.30047,1.44412,0
0.278,2.27827,1.42759,0
0.2785,2.29905,1.42181,0
0.279,2.33762,1.41201,0
0.2795,2.36103,1.3911,0
0.28,2.30578,1.42026,0
0.2805,2.30899,1.40208,0
0.281,2.31284,1.38288,0
0.2815,2.32063,1.34221,0
0.282,2.33434,1.36486,0
0.2825,2.30236,1.39434,0
0.283,2.34463,1.38237,0
0.2835,2.35519,1.39569,0
0.284,2.34853,1.4002,0
0.2845,2.37092,1.41352,0
0.285,2.34894,1.4413,0
0.2855,2.31215,1.43347,0
0.286,2.30827,1.43014,0
0.2865,2.29469,1.42428,0
0.287,2.26874,1.4147,0
0.2875,2.26097,1.37792,0
0.288,2.27595,1.37259,0
0.2885,2.27875,1.37746,0
0.289,2.33012,1.35971,0
0.2895,2.35023,1.34057,0
0.29,2.34078,1.34735,0
0.2905,2.30834,1.33935,0
0.291,2.23932,1.37199,0
0.2915,2.27537,1.35842,0
0.292,2.23321,1.39934,0
0.2925,2.22926,1.37605,0
0.293,2.24147,1.37279,0
0.2935,2.27546,1.37006,0
0.294,2.24364,1.38484,0
0.2945,2.2431,1.39521,0
0.295,2.26377,1.37864,0
0.2955,2.30648,1.35638,0
0.296,2.3277,1.32939,0
0.2965,2.32269,1.37519,0
0.297,2.35298,1.37174,0
0.2975,2.37371,1.34199,0
0.298,2.3143,1.36799,0
0.2985,2.29611,1.32167,0
0.299,2.27985,1.29773,0
0.2995,2.35612,1.2835,0
0.3,2.31974,1.31142,0
0.3005,2.3299,1.32206,0
0.301,2.3716,1.30553,0
0.3015,2.36835,1.32983,0
0.302,2.35598,1.33967,0
0.3025,2.3815,1.34887,0
0.303,2.32163,1.37795,0
0.3035,2.35337,1.38821,0
0.304,2.34952,1.39242,0
0.3045,2.34059,1.41349,0
0.305,2.33062,1.40444,0
0.3055,2.31927,1.41647,0
0.306,2.34386,1.39142,0
0.3065,2.36789,1.38651,0
0.307,2.36965,1.38862,0
0.3075,2.35788,1.40021,0
0.308,2.30314,1.43281,0
0.3085,2.33273,1.42302,0
0.309,2.30952,1.41667,0
0.3095,2.2928,1.42818,0
0.31,2.29552,1.4466,0
0.3105,2.30602,1.43323,0
0.311,2.33383,1.42668,0
0.3115,2.32323,1.43191,0
0.312,2.33583,1.42468,0
0.3125,2.31432,1.43293,0
0.313,2.34072,1.42415,0
0.3135,2.32608,1.46366,0
0.314,2.30636,1.48142,0
0.3145,2.32654,1.49255,0
0.315,2.31646,1.5201,0
0.3155,2.37412,1.47568,0
0.316,2.34465,1.49092,0
0.3165,2.32631,1.5074,0
0.317,2.3218,1.50265,0
0.3175,2.32006,1.48613,0
0.318,2.29883,1.48025,0
0.3185,2.27646,1.46881,0
0.319,2.24656,1.46541,0
0.3195,2.26348,1.45606,0
0.32,2.26205,1.48233,0
0.3205,2.27572,1.50572,0
0.321,2.28521,1.54192,0
0.3215,2.31456,1.54168,0
0.322,2.32443,1.51952,0
0.3225,2.31196,1.50462,0
0.323,2.35396,1.49901,0
0.3235,2.38184,1.51489,0
0.324,2.34745,1.5268,0
0.3245,2.33614,1.5199,0
0.325,2.35183,1.5081,0
0.3255,2.36593,1.48397,0
0.326,2.38662,1.46889,0
0.3265,2.37635,1.47089,0
0.327,2.39605,1.45337,0
0.3275,2.38677,1.45598,0
0.328,2.40025,1.46278,0
0.3285,2.35125,1.48659,0
0.329,2.37357,1.47766,0
0.3295,2.38255,1.48243,0
